sentimento,comentarios
negative,comprei luminárias recebi apenas problema compra microondas menos meses site lannister agora luminária agora pergunto quanto cliente vale
negative,compra feita ítens porém recebi nota constam aguardo retorno devidas providências
positive,tecido bom
positive,mercadoria entregue conforme prazos regras acordados recomendo
negative,arara qualidade ruim fragil fez ja chegasse quebrada
neutral,caixa meia aberta data garantia não sei validade proxima
negative,lojas lannister pra comprar site lannister pensando seguro mero engano enviaram embalagem nota nao sei verdadeira produto nao veio paguei vista dinheiro
negative,não recebi ainda produtos incompetência correios não avaliar maneira pediram acho deveriam mudar pesquisa tipo não porque
negative,comprei produto falarão iria entrega ate dia recebi mensagem falando produto entregue dia noite não recebi ate momento não entregue favor verificar ai
positive,baratheon melhor loja brasil
positive,tudo certo produto data entrega
positive,entrega muita rápida produto boa qualidade
positive,produto excelente
positive,adorei comprei dois peneis carro ficou tudo show chegou prazo certo adorei obrigado todos mês vem vou compra tres
positive,ótimo prazo entrega
positive,compra ate entrega tudodebom
positive,recebir bem antes prazo recomendo loja targaryen
positive,entrega funcionamento perfeitos
positive,bom custo benefício
positive,tapete bem bonito acabamento bem feito não exatamente capacho mas vale compra
negative,cor não veio vermelho descrição produto sim vinho material achei q melhor porem vale pena preço
positive,parabens entrega feita ate antes prazo loja confiável
positive,gostei produto
positive,bonito
positive,entrega realizada antes prazo
positive,lindooo
positive,produto bom recomendo
positive,melhor esperava ótimo projetor excelente acabamento ótima projeção produto entrega rápida dias exceto final semana recebi casa encontro feliz satisfeito compra
neutral,produto veio errado
neutral,veio somente frente carcaça chave momento compra imagem produto parte frente parte trás junto
negative,min apos compra cancelei print assim vcs mandaram sob orientação d devolver entrega q passada porteiros q n devolveram mandei msg p v q nd resolvem retirem pf
positive,mochila linda esperado entrega super rápida
positive,controle funciona conforme esperado ótimo produto
neutral,pedido entregue tempo certo
negative,pedi controle remoto tv comum tv não smart tv veio tv smart tv
negative,recebi apenas metade produtos não consigo contato
negative,não mandaram produto nem deram satisfação
positive,sempre compro lojas lannister sempre bem atendida produtos entregue dia
positive,produto bonito
positive,produto veio prazo atendeu todas expectativas
positive,tênis confortável resistente bem acabado recomendo todos
positive,excelente loja excelentes produtos
positive,fácil fazer nota produtos qdo vc fecha pedido ter terminar compras ruim deveria qdo vc coloca compra carrinho tendo retorno facilita
neutral,recebi produto porem faltam partes
positive,recomendo
negative,veio apenas colcha azul faltando rosa qualidade ruim faltou informação produto encaixar igual lencol elástico
positive,parabéns loja preço produto agilidade entrega
positive,produto veio excelente estado porém caixa danificada deveriam ter cuidado
positive,produto preço bom entrega ok
positive,produto bom lindo mto satisfeita
positive,chegou dentro prazo descrito
positive,parabéns rapidez entrega
negative,comprei perfume silver intense recebi tradicional silver scent optei não fazer devolução vou ficar prejuizo
positive,faz somente dois dias testando
positive,bom
positive,ainda não estalamos mas acabamento perfeito
positive,excelente produto recomendo
positive,produto bom
negative,recebi produto dentro prazo mas desperdício dinheiro material super fraco luz interna péssima quase não dá pra ver horas não condiz nada anunciado
positive,esperava q chegasse produtos prazo não chegou
positive,recebi produto prazo gostei
positive,lindos modernos amei
positive,quadro bonito bem feito otimo custo beneficio
negative,comprei motog splus platinum recebi motog dourado reembalado características ja ter sido usado produto veio película vidro aplicada além capa protetora embalagem n
positive,vou pedir kit desses
negative,preço achei pintado figuras principalmente cozinha onde muita gordura mas potes desenho papel colado
positive,eficiente
positive,produto chegou antes prazo ótimas condições
positive,site confiável recomendo comprar entrega rápida dentro prazo agradeço dedicaçao cliente
positive,amei obrigada
neutral,pedido correio retirar ja devolvido favor verificam pra mim
negative,araras boas mas não recebi cabides pedido
positive,doa rápida entrega recomendo todos
positive,boa loja s entrega poderia rápida
positive,feliz pois entrega veio prazo produto certo parabéns
positive,produto entregue antes prazo satisfeita
positive,comprei cartucho xl preto mesma data americana fornecedor inga printing shop acabou vindo dias antes
positive,ótima recomendo
neutral,demorou chegar
positive,excelente recebi tel antes prazo citado perfeita ordem satisfeito futuramente irei entrar contato solicitar bateria suplementar tel obrigado abraço
positive,parabéns agilidade
negative,não recomendo loja pra ninguém comprar porque não fiquei sartifeito compra fiz
positive,produto chegou perfeito estado
positive,gostei bastante
positive,ótimo perfume bom vendedor
positive,gostei produto ver pessoalmente
positive,bom produto
negative,produto não chegou prazo
negative,produto veio aberto amassadinho embalagem frágil produto
neutral,não recebi material logo não irei avaliar
positive,dentro combinado agora colocar asfalto marca km pois várias borracha deferente pois brasil
positive,conforme anunciado chegou antes prazo
positive,super recomendo
negative,comprei unidades entregue unidade
negative,não recebi pedido completo
positive,boa chegou mt rápido
negative,jogaram mercadoria correios virar ir busccar
negative,aguardando poderia enviar confirmação entregue
positive,mto bom
positive,adorei produto chegou tudo perfeitamente
neutral,couro carteira veio descolado algumas partes abrindo cada vez solicitei troca mas agora nem retorno comprei faz dias
positive,tudo certo
positive,recebi rápido antes prazo otimo qualidade adoreii
positive,experiência ótima realizar compra loja lannister
neutral,produto veio amassado
negative,comprei três unidades produto empresa apesar ter expedido nota três enviou somente unidade
positive,entrega super rápida produto ótima qualidade recomendo certeza
negative,pedido consta produtos agora recebi apenas produto preocupa status aparece entregue solicito providências
positive,tudo bom
positive,noiva adorou produto
positive,adorei capa linda
negative,falta compromisso cliente
positive,produto entregue dentro prazo qualidade produto conforme esperado
neutral,poderia melhora
negative,recebi violão lugar câmera fiz reclamação site agora ão ir correio preciso troca realizada rápido possivel
negative,produto comprei tapete higiênico cão x motivo cachorro grande porte entregue x nota fiscal emitida deixa bem claro errado
negative,produto veio defeito costuras internas não feita qualidade tbm deixou desejar infelizmente
positive,sempre compro confiável
positive,venho bem antes data prevista adorei produto qualidade recomendo
neutral,mês chegar
positive,mto bom produto entregue antes prazo mto bom
positive,produto bonito qualidade boa relação preço atendeu expetativas recomendo
positive,produto aparentemente funcionando deixando somente desejar temporizador regulador temperatura manual uso
positive,produto chegou rápido previsto excelente condições conforme informado
positive,parabéns desempenho
positive,produto entregue dentro prazo estipulado exatamente anúncio diz totalmente satisfeito loja produto recomendo todos
positive,apesar atraso correios chegou tudo bem
positive,entrega demorada luvas acordo anuncio otimo custo beneficoo preço
positive,tudo ok rápido entrega bem embalado recebimento todos grupo baratheon ob
positive,outras compras entrega dentro prazo produto correto satisfeito
negative,espelhos vieram todos arranhados horror material péssima qualidade não recomendo ninguém
positive,gostei pena não vou poder usar agora pq bb mês perninhas não abre cintura mas produr bom
positive,sim recebi produto correto prazo estabelecido caixa perfeitamente lacrada aberta tudo aparentemente normal todavia não produto mas creio tudo ok
positive,bom produto entrega rápida
positive,entrega antes prazo bom
neutral,entrega prevista porem ate não chego creio próxima semana chegue ficarei aguardo avalio
positive,recomendo sempre
positive,excelente
neutral,pouco demorada entrega mas antes prazo estipulado
positive,loja bem sincera vendas opinião recomendo
positive,produto ótima qualidade amando
positive,prazo entrega aconteceu conforme combinado produto bom deixa quarto elegante
positive,poderia melhor apenas questão pagamento imprevisto demoraram duas semanas identificar transferência bancária mas tudo resolvido
positive,gostei
positive,produto entregue corretamente entregue antes prazo
positive,produto chegou rápido superou expectativas excelente
positive,otimo produto resistente bonito chegou bem rápido
positive,produto entregue anunciado dentro prazo
negative,não gostei produto não recomendo loja
negative,não funcionou equipamento não consegue fazer contato celular preciso fazer teste ter certeza mas aparentemente não funcionou
positive,compra realizada forma fácil rápida entrega dentro prazo
positive,entrega realizada antes prazo estabelecido
negative,site bom mas não recebi todos produtos
neutral,preciso ajuda devolucao pedido produtos nao qualidade esperada at
negative,comprei quatro rolos papéis parede recebi apenas três preciso solucionem problema quanto antes obra parada esperando chegada papéis aguardo resposta
positive,atendimento espetacular problemas correio local não empresa produto empresa desdobrou recebi produto dias devolução correio nota dez pra vcs
positive,satisfeita produto tudo propaganda fala puder adquiri pen wifi vai recomendar certeza
negative,cancelar maioria encomendas gostaria ter sido procurado equipe atendimento não mail sei grande parte culpa correios
negative,comprei dois produtos loja veio site dizendo entregue dois fiz reclamação dias ainda não resposta
positive,obrigada atenção rapidez
positive,vendedor eficiente recomendo
positive,jeitinho descrito propaganda recomendo
negative,nem nota fiscal emitida
negative,pedido chehou prazo certo mas precisa melhor
positive,satisfeito pedido chegou antes prazo perfeitas condições
neutral,material plastico parecido saco lixo poderia colocado descrição trada pvc super facíl rasgar tanto propria antena carro perfurou sozinho
neutral,não gostei material mas estética ótima
negative,produto não chegou
positive,produto entregue correto uns dias antes prazo
positive,linda cortina
positive,comprei sábado recebi quinta bem antes prazo produto maravilhoso deixa cama bem confortável
positive,obrigada rapidez fiquei satisfeita entrega tão rápido antes previsto sempre gostei comprar produto excelente recomendo
negative,não recebi produto ainda
positive,gostei produto achei bom atendmento bom chegou prazo certo recomendo
positive,rápida eficiente entrega porém ficaria satisfeito entregasse tudo pedi vez
positive,confesso q fiquei medo comprar conta comentário anterior gosto nao discute comprei toalha chegou linda grande so nao marca pouco inferior vale preço
positive,otimo produto entrega rapida
negative,produto defeito aguardando retorno vendedor devolução
negative,segundo especificação produto sony z plus porém película q veio nem menos chega cobrir toda tela aparelho produto erro grosseiro enganador
positive,chegou antes data prevista satisfeito
positive,mochila top qualidade recomendada
positive,entrega antes prazo produto bom bonito
positive,recebi produto certo antes prazo valeu stark targaryen relojoaria nishimoto correios
neutral,prazo entrega melhor nesta última compra pediram mês efetuar entrega acredito possa melhorado
positive,produto exatamente apresentado site
positive,gostei produto ainda chegou bem antes prazo
positive,entrega rápida parabéns
positive,tdo certo entrega correta
positive,produto veio acordo solicitado dentro prazo
positive,satisfeita compra entrega
positive,cada vez menos comprando lannister após parcerias outras lojas conhecido marketplace pois prazos entrega maiores lannister trabalha
positive,ótimo recomendo
positive,recebi prazo certo semvproblemas
positive,bom gostei rapido entrega
positive,ótima entrega produto bem embalado prazos cumpridos tudo ok
negative,empresa marketplace marketplace minishopping dentro shopping não confio péssima experiência transtorno ganha estrela porque não deixam dar zero não recomendo
positive,gostei produto comprei presente
positive,pedido entregue prazo
positive,gostei compra
positive,chegou antes previsto bem embalado seguro
negative,pagamos caro receber casa frete r ainda não recebi produto não consigo retirar correios pois não deixaram papel retirada casa insatisfeita
positive,amo recomendo
positive,bonito vale pena
positive,mochila bonita imaginei menor
positive,tudo correto
positive,perfeito chegou rápido perfeita condição
positive,ótimo produto custo benefício
positive,pra mim melhor site compras
positive,produto bom entregue antes prazo
positive,chegou tudo conformes dentro prazo excelente qualidade pulseiras recomendo
negative,produto entrega data mas veio errado aguardando solução
positive,panelas dentro qualidade esperada boa
neutral,não agradou porque produto falta meses pra vencer validade
positive,k tudo certo
negative,empresa ofereceu produto não disponível transtorno não indico
positive,produto chegou dentro prazo bem embalado recomento
negative,produto não entregue
positive,show tamanho bom pra bancada divisão ambiente super recomendo
negative,pessimo produto má qualidade tecido horrivel não igual foto não recomendo produto
negative,fiz varias solicitações devolução retorno aguardo
negative,não recebi cortina
negative,produto coloca água veio aberto molhou papel instruções manchou fonte
negative,comprei relogio dia mães hoje não chegou
neutral,site havia havia recebido tudo produtos não vindo
positive,satisfeito produto chegou bem antes prazo produto perfeito estao parabéns recomendo site vendedor
positive,excelente parceiros targaryen elba confecções parabéns todos obrigada excelente atendimento bom dia
positive,entrega perfeita parabéns toda equipe shop timediatamente
neutral,produto ainda não chegou mas sabido motivo atraso greve caminhoneiros petroleiros
negative,passou prazo ainda não recebi produto não recomendo
positive,produto original entrega rápida recomendo
positive,depender correios hoje dia coloca satisfação cliente fornecedor risco pois correios não precisos serviços
positive,amei material protege bem alças ajustáveis bem reforçadas super prático ter fecho bem comprido
positive,produto superou expectativa lindo
neutral,pedi unidades recebi paguei unidades vou receber aguardo resposta recebi unidade dia
positive,voltaria comprar certeza
negative,dois produtos recebi nota
negative,presente momento produto ainda não entregue
negative,comprei duas unidades produto recebi aguardo envio informações sobre segunda
positive,continuo comprando satisfeita produtos baratheon
negative,compramos efetuamos pagamento recebemos somente aguardando retorno quanto email enviado qdo recebimento não recebemos nota fiscal compra att
positive,produto parece meio frágil mas funciona normal
positive,amei produto excelente qualidade
positive,produto ótimo qualidade bonito recomendadíssimo
negative,recebi produto prazo porém quebrado mandei mail segunda avaliação preencho informando ocorrido aguardando resposta
negative,fornecedor vende produtos nota fiscal
negative,ainda não recebi produto mas receber produto avaliação fica furada
positive,bom entrega rápida
positive,bom
positive,produto boa qualidade chegou bem antes prazo convencionado recomendaria dúvida parabéns empreendedores
positive,recebi corretamente
positive,aprovado
neutral,produto chegou cerca semana meia antes termino prazo porem pinceis vieram amassados evidente alguns pinceis não mesma linha possuem cerdas diferentes
negative,não recebi produto não sei porquê esperando resposta transparente
positive,perfeito iniciantes
positive,entregaram quase dias antes prazo satisfeito
positive,acabamento bom lindo serdas macia boa precisão
negative,ainda nao recebir produto ainda nao vou avaliar pq ainda nem recebir
neutral,produto compativel preço
positive,sim recomendaria pq alem vir correto veio ate maior esperava
positive,lannister
negative,não recebi produto sendo postado correio dia ultima atualização dia avisando pedido não chegou unidade
positive,adoro comprar lojas lannister entrega p dias comprei dias chegou p outro estado presente ameiiiiii
negative,apenas tapete entregue cortina melissa não registro interesse receber cortina
negative,loja faturou mosquiteiro garrafa térmica ainda não chegou não consta nf cadê produto
positive,entregue antes prazo agendado entrega veio cedo vendo assim comprometimento cliente produto chegou danos perfeito estado
positive,produto bom mas preço altíssimo nao compatível benefício
positive,gostei veio conforme foto adorei
positive,pouco dificuldade fato número residência incorreto deu tudo certo
negative,produto não entregue
neutral,bom dia produto comprei recusei mas agora não reembolsaram
positive,baixar valor frete sido pouco caro
neutral,produto chegou pouco após entrega mas satisfeito acredito greve caminhoes influenciado atraso
negative,produto não entregue ainda espero
positive,bolsa ótima atendeu necessidades
positive,igualzinho foto fica lindo amei
positive,entrega efetuada antes prazo pedido adorei pois viagem marcada queria levar presenter deu certo
positive,produto excelente qualidade único problema não consegui relatar site probleminha trava veio faltando trava c encosto gostaria enviassem
positive,òtima loja
positive,produto nota
positive,bom funcionamento
positive,bom recomendo produto veio antes prazo amando
negative,não recebi chateada
neutral,entrega deste parceiro baratheon demorada produtos tamanho poderiam ter vindo embalagem pagaria somente frete veio duas duplicou custo frete
positive,loja entregou prazo deixou informado desde data compra
negative,quero trocar produto tecido cortina mega fino
positive,chegou tudo certo dentro prazo
positive,recebi produto dias otimo gata adorou não beber agua
positive,comprarei sempre satisfeito parabéns
negative,sempre comprei lannister única vez prazo encerrou ainda não recebi produto inclusive comprei outras duas lojas bem produtos chegaram
positive,entrega dentro esperado
negative,nao recebi produto
neutral,usando produto ainda não falar bom não
positive,gostei bastante produto
positive,recebi produto antes prazo preço bom qualidade recomendo
positive,fiquei extremamente satisfeita compra
positive,top top
positive,bom produto chegou prazo recomendo
positive,super rápida entrega
positive,pendente lindo ta parabèns lannister vender produto preço justo boa qualidade simplesmente amei ficou lindo sala
positive,entrega feita dentro prazo
neutral,boa compra
neutral,produto chegou prazo porém tamanho não serviu máquina brastemp conforme informado site
positive,ótima bolsa reforçada tamanho excelente entrega rápida super recomendo
positive,ótimo produto entrega dentro prazo empresa confiável grato
positive,tudo combinado chegou antes prazo
positive,demorou bastante mas chegou direitinho menos aparentemente não veio falhas nem nada faltando aparenta boa qualidade problemas entrega bem atendida
neutral,itens kit incorreto
positive,indico pra todos
positive,satisfeita
positive,acabei receber dois cartuchos preto colorido porém ainda nao testei
positive,entrega ágil
positive,boa loja recomendável
negative,ainda não chegou não consigo rastrear produto preciso código rastreamento
negative,produto além não entregue não consta nenhuma data efetiva entrega
positive,não vou pedir pra trocar porque vo ter trabalho ir correio produto veio estampa caveira mexicana não constava foto queria estampa infelizmente
negative,comprei produto enviaram outro completamente diferente nota fiscal descrita produto comprei
negative,não entregue
positive,produto chegou problemas recomendo loja
positive,postagem ultra rápida bem ágil própria lannister produto chegou prefeitas condições tudo acordo super recomendado
positive,excelente custo benefício
positive,primo adorou troninho
negative,so recebi falta dois jogos ainda
positive,chegou antes previsto tudo certinho ok
positive,ótimo produdto
negative,especificacao produto diz cer couro recebi material alternativo
positive,bom recomendo atendimente entrega perfeitos
positive,amei tudo
positive,entrega rapida produto otima qualidade
negative,falta entregar produtos
negative,atraso entrega ainda não recebi não informado atraso não receber logo vou cancelar pedido
positive,produto atendeu expectativas recomendo interessados
positive,ótimo produto loja tudo ótimo
positive,entrega material correto dentro prazo ótimo
negative,comprei caixa passagem marca durin recebi outra caixa marca diferente
negative,pergunta vcs irão entregar mercadoria paga
negative,cadeira comprei não chegou enviaram outra além esperar quase mês prazo entrega produto ainda recebemos errado
negative,não recebi produto informações
positive,recomendo momento não nada contra
positive,surpreendi rapidez entrega nao esperava
negative,calçado demorou chegar havia sido usado solado usado
positive,chegou antes prazo
positive,recebi produto boa qualidade mas comprei tamanho errado vou devolver produto pois não cane celular
positive,sobre produto dúvidas original
positive,superou expectativas chegou bem antes prazo
negative,produto deveria ter chegado dia mas nao chegou continua status nota fiscal emitida empresa responsável designava dias úteis ja tempo considerável
negative,produto veio avariado tintas falhadas rosto boneco escudo capitão américa arranhado não fica preso suporte braço molenga
positive,excelente recebi encomenda bem antes prazo tudo conforme pedido parabéns
positive,entregue prazo
positive,tudo certo ótimo produto
positive,entrega prazo relógio bonito
positive,chegou rapido excelente produto
positive,gostei obrigado atender clientes muita competência
neutral,gostei
negative,primeira vez comprei internet desconfiada resolvi arriscar espero problema resolva rápido possível pra futuramente poder fazer novas compras aguardo resposta
negative,ainda não recebi produto
positive,gostei comprar targaryen preço prazo entrega bom
positive,fiquei satisfeita atendimento produto
positive,apenas resalva comprei quatro unidades entregues juntas quarta entregue separadamente
positive,chegou bem antes prazo bom produto
neutral,entrega rapida porem material produto nao agradou
positive,entrega super rápida produtos qualidades preço imbatível
positive,cliente assíduo lojas lannister nunca problema compras
positive,entrega super rápida amei produto
positive,beleza sempre pena comprar nesse site
neutral,material produto não bom
positive,produto parece bom ainda não usei
neutral,produto entregue dentro prazo
negative,infelizmente compra não bem sucedida
negative,conector usb entregaram diferente anunciado interessou comprei enviaram não serve celular requeiro troca imediata
positive,entrega produto feito antes prazo recomendo
positive,produto esperava entrega antes prazo bom
positive,entregue antes prazo
positive,pendente bonito foto entrega super rápida ainda não instalei mas ficará lindo cozinha
positive,satisfeito produto chegou antes prazo
positive,bom dia sr s kit comprei previstas carreteis linha chegou
neutral,cadeira confortável mas acabamento incompatível preço peças tortas rebarbas manchas embalagem frágil chegou desfazendo ponto cair peças portaria apto manual
negative,produto não entregue momento
positive,otima negociacao tudo perfeito entrega antes prazo
negative,ainda não recebi puf
neutral,material produto bom mas deixa desejar imã fecha carteira pouca pressão semana uso não fecha deveria fica soltando linha costura mediano
negative,produto péssima qualidade
negative,entregaram produto errado solicitei lençol elástico loja enviou elástico menor comprei
positive,ótimo produto entrega super rápida
negative,entrega feita correios dois aparelhos veio defeito vou ter trocar
negative,chateada pois completou dias comprei produto ainda não chegou
negative,comprei mês atrás nunca chegou não existe canal comunicação eficiente pra reclamar q não chegou q esperar quase semana
negative,fiz compra chegou tampa quebrada triste momento porque mandei mail pra realizar troca mas agora não deram retorno faz dias recebi produto
positive,mochila ótima lancheira entrega antes prazo
positive,recomendo todos entrega antes prazo
positive,produto excelente entregue antes data prevista adorei obrigada
neutral,entregou tudo certo
positive,satisfeito atendimento
negative,boa noite conforme informei anteriormente espátula inox nao entregue gostaria saber sobre grato jean
neutral,talvez dificuldade correios
positive,coberta normal cadelinha gostou produto chegou rápido
positive,tudo certo
positive,adorei canguru conforme descrição únicos problema gordinho não serve pouco kkk não nenhum manual folheto instrução resto tudo ok bom material
negative,comprei duas cadeiras nota fiscal faturada duas pagamento via cartão crédito duas recebi tão somente realizei reclamação junto baratheon elo agora nada
positive,produto chegou prazo ótima qualidade
negative,nao recebi produto completo abri ocorrência aguardando retorno pois dois kits so recebi espero resolução
positive,ótima negociação
positive,tratamento honestidade
positive,mto bom recomendo loja
positive,entregue antes prazo previsto embalado certinho bom satisfeito
positive,entrega super rápida amei produto certeza indico
negative,podia melhorar buscar correios queria receber casa
negative,moito imatura loja não cumpre clientes promete atraso ainda cobra frete caro não entregue aguardando produto chegar
positive,atendimento excelente produto chegou super rápido recomendo loja
negative,produto chegou metade
positive,entrega prazo preço justo recomendo
negative,produto lixo não possibilidade instalar
neutral,produto entregue dentro prazo aliás bem antes data final prevista
positive,alinhamento eficaz resultado rapidez obra
positive,veio ate rapido veio certinho
positive,entregue antes prazo
positive,olha acho enxergar bebedouro ter furo parte cima ficaria mas prático daí sim nome sério correto vida mansa
positive,recomendaria
positive,lindo amei tudo certo chegou prazo entrega amei quadro lindo recomendo
positive,produto excelente melhores velas mercado
positive,gostei produto entregue prazo parabens
positive,entrega prazo gostei produto recomendo
negative,não chegou não chegou
positive,ajuda bastante acabamento cortes cabelo barba máquina bem leve boa aparência pena pino não comum daqueles tracinho
negative,comprei dois aparelhos so chegou cade produto
negative,produto não chegou
positive,ótimo perfume recomendo
positive,gostei deste produto além bonito resistente excelente acabemento valeu pena
negative,comprei produto espelho decorativo não acrílico fotos imagem ilustrativa círculos pareciam maiores mas não continha informação descrição não posso reclamar
positive,produto entregue dias fornecedor inspira confiança recomendo
negative,solicitei cancelamento item site questionada sobre recebimento não recebi nem vou favor atualizarem informações
negative,fiz pedido dois itens nessa loja so entragaram momento algo não faz sentido pois itens complementares segundo site expedidos juntos
positive,amei produto recomendo entregue antes prazo
positive,atendeu procurado preço entrega
positive,entrega mto rápida parabéns
positive,recomendo loja produto entregue antes prazo
positive,sempre compro vcs agora vou comprar celular quero j gran prime valor vc preço bom p mim poder mande p min q enterese adquire produto obrigado
negative,pedido entregue incompleto comprei duas capas celular moto g duas películas vidro celular porém entregues somente capa película
positive,sinto seguro comprar lannister parceiros cumpre anuncio parabéns funcionarios
positive,rápida entrega produto qualidade
positive,vale pena comprar lannister
positive,ótimo produto chegou embalagem bem lacrada antes tempo previsto entrega
negative,comprei dia data prevista entrega hoje não recebi produto ainda nenhuma satisfação lamentável não compro menos indico não padrão lannister
positive,ótimo vendedor
negative,momento não entregue produto completo fico aguardo carla goés
negative,compra produto realizada ate momento não recebemos produto urgência compramos nesta loja pois normalmente entrega antes prazo enrega desta vez nã
positive,produto fácil usar eficiente vidros ficam limpinhos
positive,recomendo sim
positive,primeira vez comprei lannister internet ótimo gostei produto recebei todos perfeito bom fiquei supreso rapidez
negative,recebi email relatando produto sido extraviado fiz cancelamento pois bolsa bebê comprei outra agora recebi comprei vcs agora duas mercadorias
positive,bom
positive,compro lannister tempo site confiável produtos qualidade
positive,loja maravilhosa dvd excelente
positive,lannister otima
positive,obrigado produto tudo certinho obrigado lannister próximo
negative,produto nao corresponde modelo
positive,entrega rapida
positive,produto entrega conforme anúncio
negative,produto não chegou
positive,freguesa satisfeita atendimento
positive,excelente produto vendedor recomendo todos
positive,produto certo entregue prazo
positive,além produto chegar antes previsto qualidade tbm surpreendeu adorei
neutral,dizia dias uteis após aprovação pgto contei dias uteis comprei dia sábado esperança entrega antes contei segunda sexta recebi dia
positive,entrega super rápida
negative,esperando produto avaliar
positive,excelente produto forusi esperar qualidade empresa vendedora intermediadora respeitam cliente chegou bem antes prazo
positive,colcha macia bonita porém esperava tamanho pouco maior mas produto sim bom
negative,comprei produto recebi outro solicitei devolução estorno pagamento porém ainda não resposta
negative,não recomendo momento não recebi produto
negative,realizei compra colchas solteiro recebi produto agora não recebi outra colcha
neutral,recebi apenas pendentes falta restante vendedora consegui falar ja enviou outros pendentes ja amarelos ainda não recebi nenhum aguardando faltam amarelos
negative,não gostei desta compra pois entrega atrasou além ter período extenso entregar
positive,produto ótimo entrega super rápida voltarei comprar novamente
positive,entrega rápida gostei produto recomendo loja
negative,produto defeito
positive,produto ótima qualidade beleza chegou bem antes prazo estabelecido parabéns
positive,sempre entrega produtos certos dentro prazo previsto
positive,testando
positive,produto bem bacana acabamento perfeito
negative,ainda nao recebi mercadoria
positive,entrega rápida produto chegou corretamente bem embalado
positive,ótima loja recomendo
negative,produto veio embrulhado embalagem inapropriada pote chá acabou ficando danificado durante trajeto abri embalagem chá todo derramado
positive,produto chegou bem antes data programada achei ótimo
positive,produto entregue corretamente
negative,abri chamado não resposta produto comprado
positive,loja excelente sempre comprei satisfeito loja
positive,sim recomendo chegou prazo
negative,comprei dois lustres conforme pedido paguei valor dois mas recebi preciso receber outro
positive,bom quanto entrega ótimo produto
positive,gostei produto loja
neutral,lindo chegou antes prazo não nenhum tipo certificado garantia acho q não prova d água pois não nada dizendo
positive,show bola bom
negative,achava poderia produto certa qualidade melhor mas instável não passando muita confiança deixa notebook
negative,produto não entregue gostaria saber vai ficar agora
neutral,gostei kit recomendo loja
negative,paguei caro frete n entregues casa q pegar correios veio assim modelo errado enviei mail espero contato pq quero devolução dinheiro
positive,procedimento compra entrega nota
positive,pratico
negative,creio engano informo recebi mesa piqui nique entrei contato empresa exito mas pedido nao atendido
positive,super rápida entrega gostei
positive,ótimo auto transformador serve muitas muitas utilidades ótimo recomendo entregue tudo certo valeu
neutral,aguardo entrega mercadoria ainda não recebi
positive,produto entregue antes prazo ótima qualidade
negative,entrega correios dor cabeça porque não fazem entrega nem sequer trazem produto agência próxima casa ir buscar longe onde moro não dão assistência
negative,descrição constava medida x mts mas veio x pedi trocar não produto sim cupons desconto não interesse queria cortina tamanho certo não recomendo
positive,pena prazo longo
positive,qualidade boa completou sala todos amaram
negative,produto não original
negative,momento não recebi entrega
positive,recebi prazo infelizmente americana não permiti comprar pois não aprovou cartão compras loja sendo sempre compro site
positive,compra tranquila entrega aconteceu antes prazo
negative,faz mes pedi produto ate agora nao entregue ainda cima nao dao nenhuma explicao fica dinheiro
positive,não consigo opinar pois produto ainda não instalado
positive,chegou antes prazo recomendo todos
negative,comprei agora nada chegar prazo pro dia agora nem sinal
positive,ainda não testamos produto
positive,relógio lindo foto não faz jus único inconveniente caixinha veio completamente quebrada não possibilitando guardar relógio nela aberta
positive,entrega super rápida
positive,òtimo
positive,produto chegou mim antes prazo fiquei super contente
positive,gostei produto
positive,produto bonito chegou antes prazo recomendo
positive,recebi dentro prazo
positive,gosto loja lannister rapidez nunca tido problema dessa vez produto veio cor diferente pedi pena
positive,mto bom atendido bem antes prazo super recomendo
positive,produto entregue conforme compra dentro prazo
positive,recebi produto antes prazo entrega super rápida recomendo transportadora
negative,relógio comprei nesta loja luz meio menos dias uso não acende gostaria trocasse caso devolução gentileza dar algum retorno obrigada
positive,produto ótima qualidade
positive,falta produto
neutral,demora entrega ainda atrasou
negative,comprei pra criança seis anos natal hoje não chegou disseram pra esperar dia hoje comprei junto chegou dias compra produto não ma
negative,produto bom mas cheiro insuportável cola sapateiro
positive,chegou tudo conforme combinado
positive,bom
positive,produto entregue antes prazo n considero fenômeno q pediram dias pra entregar testei controle td ok bluetooth funcionando aparenta original satisfeito
positive,super recomendo maravilhosa boa
negative,produto totalmente má qualidade bolinhas verdade adesivos papel latas vem completamente preta dentro podiam limpas menos
positive,gostei tudo
positive,bom funciona perfeitamente
neutral,não espera mas dá usar
negative,ainda não retorna loja targaryen retorno equipe lojas lannister acompanhando produto ainda aguardo
neutral,entrega dentro prazo previsto satisfeito
positive,produto bom material aparentemente resistente encaixou perfeitamente local
neutral,atendeu expectativas
negative,trocador veio mas ficou faltando dois mosquiteiros pra vir junto
negative,não entregue mercadoria comprada site entregue produto divergente comprado
negative,comprei esmerilhadeira v mandaram v não retorno momento
positive,gostei varal achei voltava posição fechado facilidade tirar pino colocar posição gostria recolocar pino mas bom produto
negative,totalmente frustada
negative,comprei dia targaryen prazo entrega agora não recebi produto
positive,tentei solicitar troca site não consegui produto ótimo bola boliche veio defeito veio rachada enviar bola vermelha defeito
positive,bom prazo entrega veio esperava
positive,produto bom chegou perfeitas condições
