sentimento,comentarios
positive,"['sup', 'recom', 'maravilh', 'boa']"
negative,"['produt', 'total', 'má', 'qualidad', 'bolinh', 'verdad', 'ades', 'papel', 'lat', 'vem', 'complet', 'pret', 'dentr', 'pod', 'limp', 'men']"
positive,"['gost', 'tud']"
positive,"['bom', 'funcion', 'perfeit']"
3,"['nã', 'esper', 'mas', 'dá', 'usar']"
negative,"['aind', 'nã', 'retorn', 'loj', 'targaryen', 'retorn', 'equip', 'loj', 'lannist', 'acompanh', 'produt', 'aind', 'aguard']"
3,"['entreg', 'dentr', 'praz', 'previst', 'satisfeit']"
positive,"['produt', 'bom', 'material', 'aparent', 'resistent', 'encaix', 'perfeit', 'local']"
3,"['atend', 'expect']"
negative,"['trocador', 'vei', 'mas', 'fic', 'falt', 'dois', 'mosquiteir', 'pra', 'vir', 'junt']"
negative,"['nã', 'entreg', 'mercador', 'compr', 'sit', 'entreg', 'produt', 'divergent', 'compr']"
negative,"['compr', 'esmerilhadeir', 'v', 'mand', 'v', 'nã', 'retorn', 'moment']"
positive,"['gost', 'varal', 'ache', 'volt', 'posiçã', 'fech', 'facil', 'tir', 'pin', 'coloc', 'posiçã', 'gostr', 'recoloc', 'pin', 'mas', 'bom', 'produt']"
negative,"['total', 'frust']"
negative,"['compr', 'dia', 'targaryen', 'praz', 'entreg', 'agor', 'nã', 'receb', 'produt']"
positive,"['tent', 'solicit', 'troc', 'sit', 'nã', 'consegu', 'produt', 'ótim', 'bol', 'bolich', 'vei', 'defeit', 'vei', 'rach', 'envi', 'bol', 'vermelh', 'defeit']"
positive,"['bom', 'praz', 'entreg', 'vei', 'esper']"
positive,"['produt', 'bom', 'cheg', 'perfeit', 'condiçõ']"
positive,"['entreg', 'bemmm', 'antes', 'praz', 'produt', 'entreg', 'conform', 'anunci', 'volt', 'compr', 'certez']"
positive,['toppp']
positive,"['produt', 'excelent', 'entreg', 'antes', 'previst']"
positive,"['vam', 'continu', 'compr']"
negative,"['compr', 'simpl', 'pendent', 'mei', 'lua', 'sit', 'lannist', 'vend', 'loj', 'targaryen', 'marc', 'hoj', 'abril', 'produt', 'nã', 'entreg', 'nã', 'recom', 'compr', 'produt', 'dest', 'loj']"
positive,"['aind', 'nã', 'use', 'produt', 'assim', 'nã', 'avali']"
positive,"['hav', 'ped', 'duas', 'unidad', 'cheg', 'dias', 'diferent', 'ache', 'q', 'nao', 'vir', 'outr', 'mas', 'hoj', 'cheg', 'td', 'cert', 'obrig']"
3,"['gost', 'produt', 'lind', 'por', 'med', 'cert', 'fic', 'bastant', 'just', 'cadeir']"
negative,"['aind', 'nã', 'receb', 'produt', 'venc', 'praz', 'entreg']"
positive,"['tud', 'perfeit', 'ador']"
positive,"['rap', 'dentr', 'esper']"
negative,"['produt', 'cheg', 'incomplet', 'falt', 'produt', 'whait', 'chat']"
positive,"['porém', 'ped', 'vei', 'avar']"
positive,"['ador', 'pec', 'exat', 'fot', 'mas', 'vei', 'falt', 'parafus', 'buch', 'compr']"
3,"['loj', 'bacan', 'compr', 'muit', 'produt', 'nel', 'merec', 'brind']"
positive,"['primeir', 'vez', 'compr', 'sit', 'satisfeit']"
positive,"['receb', 'antes', 'praz', 'gost', 'produt', 'recom']"
negative,"['compr', 'dois', 'pent', 'memór', 'envi', 'apen', 'aguard', 'praz', 'respost', 'sobr', 'problem', 'palhac', 'nã', 'recom', 'loj', 'qualidad', 'respons', 'tud']"
3,"['pendriv', 'nao', 'funcion', 'comput']"
negative,"['nao', 'gost', 'motiv', 'demor', 'entreg', 'busc', 'correi']"
positive,"['produt', 'idênt', 'anunc']"
positive,"['tod', 'compr', 'nunc', 'problem']"
positive,"['produt', 'entreg', 'problem']"
positive,"['prat', 'boa', 'qualidad', 'mas', 'bem', 'pequen', 'recom', 'apen', 'bebês']"
positive,"['produt', 'correspond', 'anunc']"
positive,"['primeir', 'compr', 'gost', 'vou', 'continu', 'compr', 'obrig']"
negative,"['compr', 'dois', 'ades', 'receb', 'mas', 'pod', 'resolv', 'fic', 'aguard']"
3,"['pens', 'cint', 'larg', 'estreit', 'carg', 'pes']"
positive,"['sup', 'recom', 'produt', 'ótim', 'entreg', 'antes', 'praz']"
3,"['produt', 'bom', 'recom']"
positive,"['demor', 'pouc', 'mas', 'dentr', 'praz']"
3,"['vei', 'errad', 'vez', 'vei']"
positive,['bom']
negative,"['desd', 'compr', 'vinh', 'tent', 'cancel', 'mas', 'agor', 'ja', 'receb', 'vou', 'fic', 'produt', 'stark', 'targaryen', 'pessim', 'atend', 'nao', 'possu', 'sac']"
positive,"['boa', 'noit', 'aind', 'nã', 'receb', 'produt']"
positive,"['ame', 'produt', 'ñ', 'der', 'problem']"
negative,"['dias', 'após', 'efetu', 'compr', 'ger', 'bolet', 'pag', 'receb', 'mail', 'cancel', 'compr', 'falt', 'produt', 'estorn', 'valor', 'obrig', 'ir', 'agênc', 'banc', 'retir', 'valor']"
positive,"['receb', 'antes', 'praz', 'produt', 'excelent']"
positive,"['produt', 'ótim', 'qualidad', 'sempr', 'poss', 'compr', 'durabil', 'textur', 'maravilh', 'simples', 'perfeit']"
3,"['receb', 'anilh', 'falt', 'apen', 'kg']"
positive,"['tod', 'quesit']"
negative,"['nã', 'gost', 'produt', 'frac', 'nã', 'val', 'pen', 'tir', 'produt', 'embalag', 'outr', 'dia', 'nã', 'cheir']"
positive,"['compr', 'sempr', 'satisfeit', 'vc', 'obrig']"
positive,"['cap', 'escorreg', 'sof']"
positive,"['otim', 'loj']"
negative,"['nã', 'gost', 'entreg', 'demor', 'empres', 'demor', 'entreg', 'mercador']"
negative,"['produt', 'vei', 'risc', 'amass', 'send', 'embalag', 'perfeit', 'estad', 'fiz', 'reclam', 'aguard', 'contat', 'troc', 'produt', 'feit', 'ráp', 'possível']"
positive,"['atend', 'boa', 'qualidad']"
positive,"['compr', 'dois', 'prudut', 'ache', 'car', 'fret', 'receb', 'entend', 'motiv', 'cad', 'produt', 'vei', 'caix', 'separ', 'tamanh', 'cab', 'uns', 'produt', 'unic', 'caix']"
positive,"['ame', 'luminár', 'lind', 'enorm', 'apaixon']"
negative,"['bem', 'compr', 'produt', 'cust', 'rea', 'melhor', 'carta', 'g', 'mand', 'pior', 'rea', 'vinh', 'cartã', 'g', 'resum', 'saf']"
negative,"['cad', 'produt']"
positive,"['compr', 'cheg', 'parcial', 'capinh', 'celul', 'nao', 'vier', 'junt', 'restant', 'ped', 'aguard', 'ver', 'esta', 'vind', 'separ']"
positive,"['ótim', 'loj', 'faz', 'compr', 'compr', 'var', 'vez', 'sempr', 'cheg', 'produt', 'ótim', 'qualidad', 'praz', 'cert', 'antes', 'sup', 'recom']"
positive,"['entreg', 'sup', 'ráp']"
negative,"['produt', 'vei', 'part', 'defeit', 'trat', 'mdf', 'lad', 'tamp', 'vei', 'quebr']"
positive,"['receb', 'antes', 'praz', 'cortin', 'lind', 'exat', 'igual', 'descriçã', 'tamanh', 'especific', 'ótim', 'cust', 'benefici', 'sup', 'recom']"
positive,"['cheg', 'dat', 'combin', 'not', 'recom']"
positive,"['gost', 'compr', 'sait', 'produt', 'sempr', 'entreg', 'ate', 'antes', 'praz', 'entreg']"
3,"['praz', 'entreg', 'long']"
positive,"['recom', 'compr', 'dess', 'produt', 'mei', 'segund', 'pel']"
positive,"['satisfeit', 'entreg', 'pois', 'cheg', 'bem', 'antes', 'praz', 'estipul']"
negative,"['compr', 'três', 'produt', 'pod', 'envi', 'dentr', 'pacot', 'assim', 'talvez', 'pod', 'economiz', 'fret', 'ache', 'absurd', 'pag', 'fret', 'quas', 'metad', 'valor', 'si']"
negative,"['acho', 'incompetent', 'extrem', 'coloc', 'vend', 'produt', 'disponibil', 'ato', 'compr', 'jog', 'indisponibil', 'log', 'ver', 'produt', 'vend', 'prec', 'baix']"
positive,"['aind', 'nã', 'apliqu', 'produt', 'mas', 'parec', 'ótim', 'qualidad']"
positive,"['bom', 'receb', 'tud', 'certinh', 'jeit', 'ped']"
positive,"['entreg', 'antes', 'praz', 'porém', 'receb', 'caix', 'abert']"
negative,"['produt', 'n', 'entreg', 'const', 'q', 'receb']"
positive,['confiavel']
positive,"['excelent', 'vendedor', 'produt', 'cheg', 'bem', 'antes', 'previst']"
negative,"['produt', 'nao', 'cheg']"
positive,"['melhor', 'loj', 'compr', 'cheg', 'antes', 'praz', 'produt', 'qualidad', 'loj', 'acelent', 'esper', 'sempr', 'compr', 'receb', 'sempr', 'qualidad', 'tod', 'produt', 'agor', 'vô', 'esper']"
negative,"['entreg', 'cap', 'zíp', 'compr', 'cap', 'envelop', 'const', 'listag', 'ped', 'gost', 'sab', 'resolv', 'problem']"
3,"['tdo', 'cert']"
positive,"['entreg', 'rapidíssim', 'compr', 'dia', 'seguint', 'dispon', 'show']"
positive,"['parceir', 'bom', 'val', 'pen', 'compr', 'loj']"
negative,"['nã', 'consig', 'abrir', 'rastreament', 'const', 'entreg', 'quer', 'produt', 'quer', 'urgent', 'posiçã', 'sobr']"
positive,"['boa', 'tard', 'venh', 'faz', 'solicit', 'troc', 'produt', 'motiv', 'falh', 'costur']"
positive,['ador']
negative,"['bom', 'receb', 'suport', 'mas', 'ventos', 'pra', 'coloc', 'vidr', 'compr', 'pro', 'encost', 'banc', 'porém', 'nã', 'inter', 'troc', 'ja', 'compr', 'outr', 'obrig']"
positive,"['descriçã', 'produt', 'confus', 'seg', 'detalh', 'aís', 'europeus', 'control', 'ipod', 'traseir', 'pod', 'carreg', 'ipod', 'iphon', 'rca', 'câm', 'visã', 'traseir', 'entrad', 'relógi', 'temp', 're']"
positive,"['boa', 'qualidad', 'compar', 'valor', 'produt', 'entreg', 'rap', 'produt', 'igual', 'fot', 'gost', 'recom', 'vou', 'compr', 'satisfeit']"
positive,"['cheg', 'antes', 'praz', 'ótim', 'produt', 'recom']"
negative,"['aind', 'nã', 'receb', 'produt', 'nem', 'respond', 'pergunt']"
positive,"['cheg', 'antes', 'dat', 'previst', 'parabéns']"
negative,"['realiz', 'compr', 'hoj', 'nã', 'receb', 'produt']"
positive,"['produt', 'excelent', 'facil', 'uso', 'recom']"
positive,"['produt', 'excelent', 'qualidad', 'super', 'expect']"
negative,"['receb', 'unidad', 'send', 'compr', 'duas', 'unidad']"
positive,['perfeit']
negative,"['ped', 'nã', 'entreg', 'porém', 'receb', 'mail', 'inform', 'entreg', 'quer', 'ped']"
3,['legal']
positive,"['sempr', 'fac', 'compr', 'receb', 'direitinh', 'produt']"
negative,"['produt', 'nã', 'funcion']"
3,"['loj', 'cumpr', 'part', 'por', 'produt', 'nã', 'fi', 'entreg', 'correi', 'fiqu', 'insatisfeit']"
positive,"['lg', 'd', 'lind', 'pen', 'nã', 'android', 'completonh']"
3,"['películ', 'celul', 'nã', 'vei', 'quer']"
positive,"['entreg', 'praz', 'loj', 'honest']"
negative,"['após', 'produt', 'fatur', 'loj', 'envi', 'mail', 'nã', 'pod', 'entreg', 'falt', 'estoqu', 'busc', 'compr', 'internet', 'loj', 'disponibiliz', 'produt', 'vend', 'prec', 'superior']"
positive,"['entreg', 'antes', 'praz', 'produt', 'primeir', 'excelent', 'cor', 'perfeit', 'igu', 'compr', 'enfim', 'torn', 'client', 'compr', 'vez', 'obs', 'fret', 'pod', 'grát', 'fic', 'dic']"
positive,"['produt', 'esper']"
positive,"['bom', 'produt', 'recom', 'qualqu', 'pesso', 'compr']"
positive,"['produt', 'cheg', 'antes', 'praz', 'bem', 'embal']"
negative,"['dat', 'limit', 'entreg', 'dia', 'agor', 'dia', 'nã', 'entreg', 'consult', 'sit', 'correi', 'const', 'mercador', 'dificuldad', 'entreg', 'aguard', 'soluçã']"
positive,"['mto', 'bom', 'cheg', 'antes', 'praz']"
negative,"['mand', 'produt', 'med', 'menor', 'anunc', 'solicit', 'troc']"
negative,"['moment', 'produt', 'nã', 'cheg', 'praz', 'entreg']"
positive,"['produt', 'entreg', 'praz', 'recom', 'qualqu', 'compr', 'loj']"
negative,"['nã', 'entreg', 'produt', 'correi']"
positive,"['td', 'bom']"
positive,['gost']
positive,"['loj', 'prefer']"
positive,"['produt', 'perfeit', 'estad', 'entreg', 'rap']"
positive,"['cheg', 'antes', 'praz', 'aind', 'n', 'use', 'produt', 'mas', 'cheg', 'td', 'certinh']"
positive,"['produt', 'bonit', 'possu', 'detalh', 'tec', 'mas', 'nã', 'parec', 'resistent']"
positive,"['cheg', 'antes', 'dat', 'excelent', 'produt']"
3,"['efetu', 'compr', 'relógi', 'cássi', 'acord', 'descriçã', 'produt', 'fot', 'por', 'relógi', 'cheg', 'complet', 'diferent', 'efetu', 'compr', 'ache', 'falt', 'respeit', 'comig']"
positive,"['lind', 'relogi', 'gost']"
positive,"['sup', 'recom']"
positive,"['bom', 'produt']"
positive,"['entreg', 'bem', 'rap']"
positive,"['lannist', 'not']"
positive,"['produt', 'entregu', 'antes', 'praz', 'clarez', 'inform', 'retorn', 'imediat', 'demand', 'question', 'recom', 'lannist']"
positive,"['entreg', 'sup', 'rap', 'ame', 'tapet']"
positive,"['entreg', 'dentr', 'praz']"
negative,"['carta', 'memor', 'nao', 'funcion', 'corret', 'perd', 'arquiv', 'coloqu', 'precis', 'faz', 'devoluca']"
positive,"['gost', 'cheg', 'bem', 'ráp', 'produt', 'aind', 'melhor', 'esper']"
negative,"['realiz', 'compr', 'cortin', 'tec', 'blackout', 'conform', 'fot', 'anunci', 'receb', 'cortin', 'plastic', 'nad', 'parec', 'fot', 'anunci', 'sempr', 'compr', 'baratheon', 'nunc', 'acontec']"
negative,"['faz', 'mês', 'fiz', 'compr', 'aind', 'nã', 'cheg', 'nã', 'consig', 'nem', 'rastr', 'esper', 'resolv', 'problem']"
positive,"['produt', 'entreg', 'dentr', 'praz', 'estipul']"
negative,"['aind', 'nã', 'receb', 'produt']"
negative,"['nã', 'receb', 'produt', 'por', 'sit', 'const', 'entreg']"
positive,"['gost', 'compr', 'loj', 'pois', 'sempr', 'cheg', 'cert', 'bom', 'atend', 'obrig', 'caminh']"
positive,"['ador', 'compr', 'vcs', 'produt', 'excelent', 'cheg', 'dias', 'antes', 'praz', 'estabelec']"
positive,"['boa', 'fácil', 'ráp', 'naveg', 'sit', 'entreg', 'bem', 'antes', 'praz', 'combin']"
negative,"['nã', 'receb']"
positive,"['gost', 'parabéns', 'dedic', 'client']"
positive,"['entreg', 'antes', 'praz', 'previst']"
positive,"['receb', 'antes', 'praz', 'rápi']"
positive,"['produt', 'dentr', 'expect']"
negative,"['nao', 'agrad', 'material', 'baix', 'qualidad']"
positive,"['entreg', 'correi', 'x', 'cas', 'horári', 'horári', 'almoc', 'porteir', 'pesso', 'nã', 'encontr', 'determin', 'horári', 'ideal', 'faz', 'segund', 'tentat', 'outr', 'hor']"
negative,"['nunc', 'compr', 'amér']"
positive,"['demor', 'pouquinh', 'mas', 'cadeir', 'boa']"
positive,"['bom', 'bom', 'satisfeit']"
positive,"['cheg', 'ótim', 'estad']"
negative,"['produt', 'incomplet', 'qualidad', 'ruim']"
positive,"['sup', 'recom', 'ped', 'entreg', 'bem', 'antes', 'dat', 'entreg', 'perfeit', 'estad']"
positive,"['produt', 'dentr', 'esper', 'defeit']"
negative,"['perfur', 'camêr', 'centr', 'além', 'nã', 'cobr', 'bord', 'contrári', 'descriçã', 'produt', 'deix', 'cobr', 'cerc', 'mm', 'redor', 'tel', 'nã', 'recom']"
positive,"['sup', 'recom', 'produt', 'vei', 'dentr', 'praz', 'bem', 'embal', 'acord', 'enunc', 'sit', 'pod', 'compr', 'problem']"
negative,"['nao', 'poss', 'avali', 'produt', 'nao', 'entreg', 'precis', 'posiça']"
positive,"['satisfeit', 'produt', 'conform', 'anunc']"
negative,"['entreg', 'apen', 'produt', 'quatr', 'itens', 'ped', 'quer', 'restant', 'ped', 'cad']"
negative,"['fiqu', 'surpres', 'cheg', 'soment', 'produt', 'hav', 'ped', 'perceb', 'entregu', 'duas', 'transport', 'ate', 'moment', 'aind', 'nã', 'receb', 'outr', 'mercador', 'preocup']"
negative,"['ped', 'cor', 'ros', 'cheg', 'cor', 'rox', 'escur', 'nã', 'gost', 'cor']"
positive,"['lind', 'bonec', 'present', 'nã', 'tir', 'caix', 'ver', 'mas', 'aparent', 'tud', 'cert']"
negative,"['vc', 'nã', 'produt', 'pra', 'entreg', 'vcs', 'nã', 'devolv', 'dinheir', 'vcs', 'quer', 'justic', 'aguard', 'posiçã', 'lannist']"
positive,"['produt', 'vei', 'corret', 'porém', 'cor', 'vei', 'troc']"
positive,"['receb', 'produt', 'corret', 'bem', 'antes', 'praz', 'estipul', 'vendedor']"
negative,"['produt', 'entreg', 'defeit', 'praz', 'hor', 'pass', 'nã', 'receb', 'nenhum', 'ligaçã']"
positive,"['so', 'problem', 'entreg', 'mas', 'caus', 'correi', 'aind', 'sim', 'entreg', 'praz']"
negative,"['nã', 'prejuíz', 'impressã', 'men', 'enquant', 'mas', 'eventual', 'impressor', 'inform', 'cartuch', 'nã', 'corret', 'instal', 'necessári', 'ret', 'lo', 'coloc', 'nov']"
positive,"['olha', 'uso', 'ja', 'faz', 'temp', 'amo', 'recom', 'tds', 'maravilh', 'amo', 'compr', 'lannist', 'obrig', 'gent', 'boa']"
positive,"['vei', 'lacr', 'caix', 'rasg', 'tud', 'cert']"
negative,"['nã', 'notíc', 'produt', 'compr']"
negative,"['nã', 'recom', 'porqu', 'compr', 'forn', 'dois', 'dias', 'fiz', 'devolu', 'porqu', 'quer', 'outr', 'marc', 'agor', 'nã', 'ressarc', 'valor', 'pag']"
positive,"['servic', 'ráp', 'eficient']"
positive,"['pontual', 'confianc']"
positive,"['entreg', 'praz', 'tud', 'ok']"
negative,"['nã', 'receb', 'produt', 'nem', 'previsã']"
positive,"['receb', 'conform', 'ped', 'dentr', 'praz', 'estabelec', 'ok']"
positive,"['ok', 'receb']"
positive,"['fret', 'car']"
negative,"['nã', 'recom', 'produt', 'nã', 'funcion', 'vei', 'embalag', 'proteçã']"
3,"['falh', 'inform', 'sobr', 'vend']"
positive,"['cheg', 'antes', 'praz', 'igual', 'fot', 'ador']"
negative,"['compr', 'model', 'mast', 'prateleir', 'envi', 'standard', 'solicit', 'cancel', 'devolu']"
negative,"['nã', 'receb', 'ped', 'complet', 'const', 'entreg']"
negative,"['produt', 'vei', 'nã', 'original', 'hp', 'engan']"
3,"['verdad', 'produt', 'cheg', 'dia', 'após', 'dat', 'previst', 'nã', 'mim', 'satisfez', 'assim', 'agradec']"
positive,"['obrig', 'bem', 'atend']"
positive,"['entreg', 'praz', 'grev', 'correi', 'produt', 'bem', 'acondicion', 'excelent']"
negative,"['empres', 'nã', 'acompanh', 'rastreament', 'desd', 'dia', 'marc', 'encontr', 'atualiaz', 'agênc', 'correi', 'cajam', 'sp', 'soment', 'remetent', 'pod', 'abrir', 'reclam', 'junt', 'correi']"
positive,"['gost', 'sit']"
positive,"['material', 'ótim', 'qualidad']"
negative,"['tod', 'outr', 'produt', 'entregu', 'praz', 'porém', 'atras', 'event', 'dia', 'cont', 'material']"
positive,['blz']
positive,"['boa', 'tesour', 'sao', 'otim', 'cort', 'precis']"
positive,"['resolv', 'pra', 'mim']"
positive,"['bom', 'baratheon']"
3,"['balanc', 'vei', 'falt', 'uns', 'ferrinh', 'bandeij']"
negative,"['produt', 'cheg', 'pintur', 'lateral', 'descasc', 'lacr', 'nã', 'viol', 'entã', 'vei', 'defeit', 'fornecedor', 'mas', 'fic', 'car', 'ped', 'pra', 'troc', 'vou', 'ter', 'fic']"
positive,"['produt', 'cheg', 'corret', 'antes', 'praz', 'previst']"
negative,"['tec', 'fin', 'nã', 'box', 'escorreg', 'conform', 'mex', 'colchã']"
positive,"['ador', 'produt']"
positive,"['loj', 'aprov', 'recomend', 'pra', 'outr', 'pesso', 'ire', 'compr', 'nov', 'produt']"
positive,"['compr', 'dois', 'mot', 'g', 's', 'plus', 'duas', 'cap', 'duas', 'películ', 'lannist', 'nã', 'aprov', 'pagament', 'smartphon', 'mas', 'envi', 'cap', 'películ', 'difícil', 'viu']"
positive,"['produt', 'maravilh', 'loj', 'lannist', 'not']"
positive,"['cafeteir', 'bonit', 'vidr', 'resistent', 'fácil', 'limp', 'tamp', 'plástic', 'dur', 'cobert', 'pintur', 'metál', 'melhor', 'metal', 'mas', 'men', 'qualidad', 'boa']"
positive,"['cheg', 'praz', 'ótim', 'condiçõ']"
positive,"['entreg', 'praz', 'tud', 'corret', 'recom']"
positive,['xxxxx']
positive,"['produt', 'entreg', 'antes', 'praz', 'maior', 'quantidad', 'menor', 'prec']"
positive,"['receb', 'entreg', 'antes', 'praz', 'produt', 'ótim', 'qualidad', 'vei', 'instruçõ', 'cuid', 'bilhet', 'atenc', 'vendedor']"
negative,"['receb', 'ped', 'três', 'cartuch', 'impressor', 'hp', 'origin', 'porém', 'instal', 'los', 'impressor', 'mesm', 'recus', 'inform', 'recarreg', 'solicit', 'devolu', 'mand', 'dia', 'nad']"
positive,"['entreg', 'períod', 'mencion', 'vei', 'embal', 'segur', 'vei', 'produt', 'cert']"
positive,"['ador', 'alem', 'ter', 'cheg', 'produt', 'esper', 'cheg', 'antes', 'praz']"
negative,"['praz', 'nã', 'cumpr', 'hoj', 'nã', 'cheg', 'primeir', 'vez', 'problem', 'entreg']"
positive,"['vendedor', 'onest', 'corret']"
3,"['ate', 'hoj', 'aind', 'nã', 'receb', 'mercador', 'aguard']"
negative,"['pagu', 'passag', 'retir', 'produt', 'correi', 'quer', 'ressarc', 'fret', 'dia', 'nã', 'der', 'respost', 'dia', 'ire', 'procon']"
3,"['recom', 'produt', 'aind', 'nã', 'entreg', 'mês', 'favor', 'resolv', 'obs', 'pesso', 'indiqu', 'compr', 'vcs', 'nã', 'cheg']"
positive,"['bom', 'produt', 'entreg', 'ráp', 'recom']"
negative,"['mes', 'vei', 'tamp', 'tod', 'danific', 'parec', 'usad', 'tent', 'troc', 'enquant', 'difícil']"
positive,"['ráp', 'dem', 'cheg', 'ja', 'usam', 'bom', 'produt', 'parabéns']"
positive,"['prec', 'ótim']"
positive,"['receb', 'produt', 'praz', 'qualidad', 'bom', 'prec']"
positive,"['entreg', 'ráp', 'produt', 'atend', 'expect']"
negative,"['entreg', 'falt', 'vidr', 'perfum']"
positive,"['entreg', 'ráp']"
positive,"['porém', 'ache', 'fret', 'car', 'vei', 'sabor', 'errad', 'pra', 'chocolat', 'vei', 'vitamin', 'frut', 'mas', 'nã', 'quer', 'troc', 'pq', 'q', 'esper', 'temp', 'pra', 'comec', 'utiliz', 'produt']"
positive,"['sup', 'satisfeit']"
positive,"['bom', 'atend', 'compr', 'entreg', 'sup', 'ráp', 'ótim', 'produt']"
positive,"['otim', 'cab', 'tud', 'cert']"
positive,"['fiqu', 'satisfeit', 'compr', 'atend', 'obrig']"
positive,"['vei', 'tud', 'sertinh', 'bem', 'imbal', 'tud', 'ok']"
positive,"['aprov', 'ped', 'sup', 'lind', 'trabalh', 'cheg', 'antes', 'praz', 'ótim', 'qualidad', 'ameii']"
negative,"['produt', 'entregu', 'mas', 'espelh', 'quebr', 'fac', 'troc', 'síndic', 'condomíni']"
positive,"['satisfeit', 'produt']"
positive,"['confiável', 'vei', 'praz', 'ador']"
positive,"['produt', 'bom', 'quebr', 'bem', 'galh', 'mas', 'fret', 'saiu', 'car']"
negative,"['receb', 'películ', 'mas', 'nã', 'cap']"
negative,"['demor', 'entreg', 'aind', 'nao', 'cheg', 'praz']"
negative,"['demor', 'resolv', 'problem', 'pois', 'ped', 'roub', 'correi', 'aind', 'hoj', 'esper', 'algum', 'soluçã', 'parec', 'resolv', 'client', 'vai', 'últim', 'prioridad', 'agu']"
positive,"['recom', 'vendedor']"
3,"['produt', 'nã', 'vei', 'caix', 'sempr', 'compr', 'revendedor', 'nã', 'sei', 'assim', 'mas', 'vou', 'test', 'produt', 'ver', 'realment', 'original', 'pois', 'falsific', 'frequent', 'dest', 'produt']"
positive,"['produtor', 'cheg', 'antes', 'dat']"
positive,"['entreg', 'ráp', 'parabéns']"
negative,"['fiz', 'ped', 'mês', 'aind', 'nã', 'entreg']"
positive,"['sup', 'ráp', 'entreg', 'tud', 'certinh']"
positive,"['receb', 'certinh', 'antes', 'praz']"
3,"['sobr', 'produt', 'bem', 'rustic', 'grand', 'conform', 'inform', 'folh', 'escur', 'nã', 'inform', 'loj', 'pod', 'dar', 'descont', 'pois', 'tax', 'entreg', 'dev', 'baix', 'compr', 'produt']"
negative,"['primeir', 'vez', 'atras', 'ped']"
negative,"['compr', 'produt', 'entreg', 'outr', 'tent', 'lig', 'sac', 'ninguém', 'ajud', 'moment', 'insatisfeit', 'precis', 'devolv', 'produt', 'quer', 'envi', 'produt', 'conform', 'compr', 'ped']"
positive,['pontual']
negative,"['imag', 'selecion', 'hor', 'compr', 'pacot', 'sabor', 'caf', 'pacot', 'sabor', 'banan', 'cheg', 'côc']"
positive,"['produt', 'conform', 'especific', 'bem', 'embal', 'bonit', 'imagens']"
positive,"['entreg', 'antes', 'praz']"
3,"['produt', 'ótim', 'únic', 'reclam', 'sabr', 'entreg', 'nã', 'feit', 'resident']"
positive,"['produt', 'excelent', 'entreg', 'ráp']"
positive,"['produt', 'entreg', 'praz']"
positive,"['recom', 'tod']"
positive,"['produt', 'cheg', 'bem', 'antes', 'praz', 'estipul', 'loj', 'parabens', 'sup', 'recom']"
negative,"['olá', 'aind', 'nã', 'receb', 'produt', 'praz', 'inform', 'entreg', 'dia', 'moment', 'nad']"
positive,"['sup', 'recom', 'entreg', 'sup', 'rap']"
positive,"['produt', 'entreg', 'antes', 'praz', 'atend', 'necess']"
positive,"['bols', 'lind', 'gost', 'bastant']"
positive,"['entreg', 'ráp', 'produt', 'super', 'expect', 'pen', 'recarreg', 'bat', 'vei', 'pequen', 'defeit', 'fabricaca', 'ma', 'nad', 'compromet', 'lantern']"
positive,"['produt', 'cheg', 'sup', 'ráp', 'stark', 'cad', 'dia', 'melhor', 'atend']"
positive,"['rapidez', 'entreg', 'produt', 'igual', 'inform', 'anúnci', 'gost']"
3,"['boa', 'empres', 'compr']"
positive,"['gost', 'cap', 'poltron', 'satisfeit', 'agil', 'entreg', 'bem', 'antes', 'praz', 'previst', 'recom']"
positive,"['produt', 'qualidad', 'recomendadíssim']"
positive,"['ame', 'produt', 'material', 'bom', 'dut', 'dentr', 'esper', 'recom']"
negative,"['atend', 'horrivel']"
3,"['entreg', 'ráp', 'compr', 'produt', 'cor', 'azul', 'entreg', 'pret']"
positive,"['receb', 'praz', 'recom', 'bom']"
positive,"['loj', 'ráp', 'entreg', 'incident', 'fat', 'nã', 'vim', 'produt', 'escolh', 'sim', 'simil']"
3,"['empres', 'boa', 'mas', 'ache', 'alto', 'prec', 'fret', 'total', 'produt', 'compr']"
positive,"['produt', 'hor', 'funcion', 'bem', 'estreg', 'cheg', 'antes', 'esper', 'parabéns']"
positive,"['receb', 'produt', 'antes', 'dat', 'previst', 'loj']"
positive,"['produt', 'excelent', 'qualidad']"
positive,"['compr', 'produt', 'entreg', 'realiz', 'form', 'satisfatór', 'naõ', 'contratemp', 'algum', 'tud', 'corr', 'maior', 'contratemp']"
positive,"['sup', 'satisfeit', 'produt', 'entreg']"
positive,"['gost', 'agradec', 'excelent', 'servic', 'entretant', 'receb', 'mercador', 'temp', 'hábil', 'bem', 'antes', 'praz', 'previst', 'obrig']"
negative,"['nao', 'gost', 'bonec', 'ache', 'original', 'mal', 'pint', 'tud', 'borr', 'pessim', 'qualidad']"
positive,"['ame', 'produt', 'sup', 'indic']"
positive,"['gost', 'cheg', 'ráp', 'ótim', 'produt']"
positive,['bonit']
